O*NET-SOC Code,Title,ANALYTICAL,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Learning Strategies,Complex Problem Solving,Operations Analysis,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
13-2011.01,Accountants,1,3,3,3.75,4.12,3.88,3.75,3.75,2.99,4.21,3.75,3.25,3,3.12,2.75,3.13,4.93,4.42,3.64,4.09,3.78
27-2011.00,Actors,0,3.38,3.38,3.12,3,3,3,3,4.06,3.25,3,2.62,2.5,2.62,1.38,1.97,1.38,2.19,4.64,2.03,1.41
15-2011.00,Actuaries,NA,4,3.5,4.38,4.75,4.62,4.25,4,3.22,4.81,4.75,4.12,3.5,4.62,3.38,3.72,6.5,5.84,5,5.5,4.42
29-1199.01,Acupuncturists,0,2.88,2.88,4,4,4.25,3.38,3.5,3.79,3.95,3.88,3.5,2.88,3.25,1.25,3.48,3.54,4.59,4.72,4.29,3.31
29-1141.01,Acute Care Nurses,NA,3,3,4.75,4,4,4,3.38,3.5,4.11,4,3.88,3.62,3.75,2.62,3.48,4.37,5.48,3.74,5.15,3.63
25-2059.01,Adapted Physical Education Specialists,NA,3.12,3.38,3.62,3.5,3.38,3.5,3.25,4.44,3.94,3.62,3.62,3.88,3.12,1.5,4.16,4.22,5.03,5.12,5.09,4.91
51-9191.00,Adhesive Bonding Machine Operators and Tenders,0,1.75,1.75,3,2.75,2.75,3,3,3.02,2.96,2.75,2.38,2.12,2.5,0.75,3.49,2.28,3.31,2.2,2.92,1.81
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1,3.25,3.12,4.12,4.88,4.75,3.62,3.38,3.45,4.39,5.12,4.25,3,4.12,2.12,5.57,5.47,5.91,4.04,5.28,2.75
11-3011.00,Administrative Services Managers,NA,3.12,3.12,3.75,3.88,3.38,3.12,3.12,3.85,4.04,3.88,3.38,3.25,3.12,2.5,3.94,3.74,4.67,4.25,4.99,3.34
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,NA,3.12,3.12,3.5,3.62,3.62,3.5,3,3.72,3.75,3.5,3.25,3.88,3,0.62,3.27,2.68,3.87,4.54,4.26,3.71
29-1141.02,Advanced Practice Psychiatric Nurses,NA,3.25,3.25,4.75,4.12,4.25,3.88,3.38,4,4.48,4,4,3.62,3.38,0.38,4.86,5.34,5.72,4.97,6,4.52
11-2011.00,Advertising and Promotions Managers,NA,4.12,3.88,4,4.5,3.88,3.75,3.88,3.99,3.88,4.12,4.12,3.25,3.88,3.12,3.66,4.06,4.18,4.73,4.49,3.9
41-3011.00,Advertising Sales Agents,NA,3.88,3.38,3.12,3.62,3.25,3.38,3.25,3.78,3.63,3.75,3.62,2.62,3.12,2,3,3.44,4.31,4.76,4.68,3.32
17-3021.00,Aerospace Engineering and Operations Technicians,NA,3.38,3,4,3.88,3.75,3.88,3.5,4.14,4.44,3.62,3.25,2.75,3.38,2.88,4.44,4.38,4.5,5,5.59,3.34
17-2011.00,Aerospace Engineers,NA,4,4.12,4.12,4.75,4.25,4,4,3.97,4.51,4.62,3.88,3.75,4.25,5,4.5,5.84,5.84,6.17,6.02,3.58
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",NA,3.38,3.25,3.75,3.75,3.88,3,2.88,4.03,3.98,3.75,3.12,2.75,2.88,2,4.17,2.83,4.57,4.78,4.23,3.37
17-2021.00,Agricultural Engineers,NA,3.62,3.5,4.25,4.25,4.12,4,4,4.04,4.46,4.25,3.88,3.12,4.38,3.25,4.12,5.38,5.31,5.38,5.62,4.35
45-2091.00,Agricultural Equipment Operators,0,1.5,1.25,3.13,2.88,2.88,3,2.75,2.6,4.01,2.88,1.88,0.25,2.38,0.5,1.86,2.01,3.43,2.06,2.66,2.18
45-2011.00,Agricultural Inspectors,NA,2.62,2.5,4,3.88,3.88,3,3.62,3.06,3.77,4,3.38,3,3.25,1.38,4.22,3.26,4.35,2.8,4.58,1.92
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",NA,3.62,3.62,3.38,4.38,4.12,3.75,3.38,4.46,4.78,4.12,4.5,4.25,3.5,2.25,4.84,5.74,5.52,5.82,6.24,5.37
19-4011.01,Agricultural Technicians,NA,3,3,3.75,3.5,3.62,3.25,3.25,3.93,4.37,4,3,3,3.5,0.38,4.07,3.78,4.29,4.57,5.15,3.4
53-2021.00,Air Traffic Controllers,NA,3.75,3.5,4.62,4.38,4,4.12,4,3.41,4.29,4.12,3.75,3.38,4.5,2.88,3.02,4.85,6.25,5.05,5.57,3.45
53-1011.00,Aircraft Cargo Handling Supervisors,NA,3,3,3.5,3.12,3,3.12,3,3.83,3.76,3.5,2.88,3.62,2.88,1.5,3.55,3.21,5.04,3.43,4.62,3.12
