O*NET-SOC Code,Title,ANALYTICAL,Originality,Problem Sensitivity,Inductive Reasoning,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Complex Problem Solving,"Judging the Qualities of Things, Services, or People",Making Decisions and Solving Problems,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
11-1011.00,Chief Executives,1,4.25,5,5,4.27,4.45,4.75,4.75,5,5.39,6.18,4.92,5.68
11-1011.03,Chief Sustainability Officers,1,4,4.25,4.25,4.38,4.31,4.12,3.75,4.25,4.27,5.4,5.54,5.12
11-1021.00,General and Operations Managers,1,3.38,3.88,3.38,3.65,4.03,4,3.62,3.75,4.43,4.48,4.53,3.77
11-2011.00,Advertising and Promotions Managers,NA,3.88,4,3.88,3.99,3.88,4.12,4.12,3.88,3.66,4.18,4.49,3.9
11-2021.00,Marketing Managers,NA,4,3.88,3.88,4.15,4,4.25,4.12,3.88,3.53,4.67,4.52,4.17
11-2022.00,Sales Managers,NA,3.88,3.88,4,4.13,4.14,4,3.88,3.88,3.96,5.26,4.87,4.78
11-2031.00,Public Relations and Fundraising Managers,NA,4,4,3.75,3.68,3.79,4,3.5,3.88,4.09,4.6,4.93,4.8
11-3011.00,Administrative Services Managers,NA,3.12,3.75,3.38,3.85,4.04,3.88,3.38,3.12,3.94,4.67,4.99,3.34
11-3021.00,Computer and Information Systems Managers,1,3.5,4,4,3.7,4.25,4,3.88,3.88,4.79,5.16,5.35,4.63
11-3031.01,Treasurers and Controllers,NA,3.38,4.75,4.12,3.57,4.63,4.5,4.25,4.12,4.38,6.1,5.3,5.34
11-3031.02,"Financial Managers, Branch or Department",NA,3.75,4,3.75,3.33,3.87,4,4,3.5,4,4.77,4.66,3.77
11-3051.00,Industrial Production Managers,NA,3.88,4,4,3.85,4.12,4.12,4,3.75,4.71,5.24,4.7,4.03
11-3051.01,Quality Control Systems Managers,NA,3.38,4.25,4,3.84,4.64,4.12,4,4,4.32,5.42,5.21,4.03
11-3051.02,Geothermal Production Managers,NA,3.25,4.12,3.38,4.35,4.41,3.88,3.25,3.62,4.92,5.02,4.85,3.76
